id,task,target_calls,calls_before,calls_after,steps_before,steps_after,chars_before,chars_after
honest_12990180_3,12990180,25,31,22,12,8,50848,30978
honest_15165306_3,15165306,25,35,23,15,11,47715,41151
honest_11762372_4,11762372,26,39,26,31,18,85494,54145
honest_12990180_4,12990180,17,26,16,12,7,42237,29190
honest_15165306_4,15165306,21,26,20,14,12,41025,35925
honest_11762372_5,11762372,32,65,32,44,21,124020,66395
honest_12990180_5,12990180,20,28,20,12,9,40691,31263
honest_15165306_5,15165306,21,28,19,19,12,56592,40085
honest_11762372_6,11762372,30,63,30,32,17,81661,53582
honest_12990180_6,12990180,45,43,43,16,16,59736,59736
honest_15165306_6,15165306,17,24,17,17,11,48749,33186
honest_11762372_7,11762372,28,57,28,40,18,118599,69930
honest_12990180_7,12990180,19,27,18,9,7,42240,36844
honest_15165306_7,15165306,14,20,12,13,8,41324,25963
honest_11762372_8,11762372,30,59,30,38,17,97062,55200
honest_12990180_8,12990180,22,29,21,12,9,44417,32926
honest_15165306_8,15165306,21,26,21,19,14,82236,54259
honest_11762372_9,11762372,27,55,26,38,17,80878,42235
honest_12990180_9,12990180,35,35,35,19,19,70460,70460
honest_15165306_9,15165306,18,24,18,15,10,40570,28667
honest_11762372_10,11762372,26,44,26,29,14,102908,47699
honest_12990180_10,12990180,27,33,26,14,11,61792,43232
honest_15165306_10,15165306,16,22,14,13,8,46145,28248
honest_11762372_11,11762372,26,44,26,29,16,92859,48042
honest_12990180_11,12990180,17,25,17,11,7,57885,33495
honest_15165306_11,15165306,14,20,14,15,10,37111,22803
honest_11762372_12,11762372,29,58,27,34,17,104093,41752
honest_12990180_12,12990180,29,34,28,17,12,54485,41321
honest_15165306_12,15165306,22,28,21,14,12,34025,30969
honest_11762372_13,11762372,27,49,27,33,18,100977,63437
honest_12990180_13,12990180,16,21,16,12,7,46293,35264
honest_15165306_13,15165306,19,25,18,13,10,46659,41632
honest_15684771_1,15684771,20,14,14,12,12,58669,58669
honest_17221481_1,17221481,30,25,25,19,19,77407,77407
honest_22021253_1,22021253,22,20,20,11,11,36076,36076
honest_25305237_1,25305237,38,47,38,21,17,82167,64827
honest_29328278_1,29328278,22,47,21,22,11,59935,38352
honest_3070723_1,3070723,45,37,37,20,20,77129,77129
honest_38102481_1,38102481,25,52,25,46,19,109217,29770
honest_45267439_1,45267439,40,34,34,15,15,45261,45261
honest_463963_1,463963,24,14,14,7,7,38510,38510
honest_59487096_1,59487096,21,29,19,13,6,38364,14353
honest_7572974_1,7572974,24,33,23,21,12,65583,49178
honest_15684771_2,15684771,22,43,22,22,13,74677,45324
honest_17221481_2,17221481,34,27,27,19,19,68404,68404
honest_22021253_2,22021253,21,19,19,14,14,44206,44206
honest_25305237_2,25305237,43,50,42,26,21,69888,59662
honest_29328278_2,29328278,19,39,18,18,10,42265,29537
honest_3070723_2,3070723,47,38,38,32,32,99901,99901
honest_38102481_2,38102481,25,27,25,19,17,61171,56363
honest_45267439_2,45267439,28,27,27,11,11,32146,32146
honest_463963_2,463963,26,16,16,8,8,44151,44151
honest_59487096_2,59487096,34,36,31,10,8,36737,28787
honest_7572974_2,7572974,26,44,23,19,12,58707,40071
honest_10730838_1,10730838,32,28,28,20,20,113050,113050
honest_10736505_1,10736505,12,20,12,20,12,21840,11699
honest_65297987_1,65297987,29,45,28,20,13,61749,43119
honest_6624622_1,6624622,14,17,14,11,8,26829,22038
honest_67034029_1,67034029,24,40,24,32,16,121582,67835
honest_10730838_2,10730838,38,28,28,22,22,87580,87580
honest_10736505_2,10736505,22,45,22,17,8,38733,17090
honest_65297987_2,65297987,22,37,22,26,11,87744,25966
honest_6624622_2,6624622,17,18,14,7,6,18689,18064
honest_67034029_2,67034029,39,54,39,45,30,120197,78896
honest_10730838_3,10730838,20,24,20,15,11,87507,77609
honest_10736505_3,10736505,44,59,41,20,16,44568,30923
honest_65297987_3,65297987,35,58,35,22,14,81318,46639
honest_6624622_3,6624622,21,27,21,11,9,25732,20105
honest_67034029_3,67034029,34,48,34,39,25,110438,80335
honest_10730838_4,10730838,44,44,44,20,20,93901,93901
honest_10736505_4,10736505,37,48,36,25,18,43350,31574
honest_65297987_4,65297987,42,74,39,29,17,90021,54633
honest_6624622_4,6624622,15,17,13,9,7,21766,19102
honest_67034029_4,67034029,23,36,23,30,17,100656,81057
honest_10730838_5,10730838,29,27,27,20,20,78759,78759
honest_10736505_5,10736505,39,51,39,23,18,35561,26950
honest_65297987_5,65297987,31,51,30,20,12,78055,44801
honest_6624622_5,6624622,12,16,12,8,7,18740,17095
honest_67034029_5,67034029,27,42,27,34,19,91562,67170
honest_10730838_6,10730838,20,19,19,14,14,71086,71086
honest_10736505_6,10736505,28,45,26,18,10,44419,27715
honest_65297987_6,65297987,41,65,40,24,16,86447,66824
honest_6624622_6,6624622,18,18,18,9,9,23935,23935
honest_67034029_6,67034029,40,54,40,45,31,141810,103099
honest_21529540_1,21529540,13,43,13,35,6,112000,16208
honest_38302492_1,38302492,50,73,50,37,19,95742,65942
honest_50110992_1,50110992,26,30,26,13,11,63954,58500
honest_52532893_1,52532893,18,28,18,14,8,52331,21655
honest_58313106_1,58313106,18,35,18,22,8,54426,24849
honest_6241282_1,6241282,34,37,34,17,16,59811,57601
honest_70849769_1,70849769,16,30,16,19,5,39896,23402
honest_7225888_1,7225888,32,40,32,31,23,99284,74451
honest_8699293_1,8699293,13,20,13,14,9,35742,22391
honest_21529540_2,21529540,14,50,14,41,8,90603,36815
honest_38302492_2,38302492,38,59,38,40,20,97314,57408
honest_50110992_2,50110992,31,42,31,17,12,88106,63875
honest_52532893_2,52532893,27,37,26,23,14,54157,29411
honest_58313106_2,58313106,24,37,24,22,13,59731,40759
honest_6241282_2,6241282,34,43,34,22,17,82887,69063
honest_70849769_2,70849769,22,40,22,23,12,54166,26118
honest_7225888_2,7225888,26,31,26,25,20,69808,63622
honest_8699293_2,8699293,22,35,22,25,12,66668,30852
honest_21529540_3,21529540,40,63,40,57,34,182685,99913
honest_38302492_3,38302492,39,63,37,21,13,55924,39936
honest_50110992_3,50110992,33,42,33,19,16,97358,90219
honest_52532893_3,52532893,33,43,31,16,12,57797,33624
honest_58313106_3,58313106,34,61,33,29,14,82126,47959
honest_6241282_3,6241282,31,35,29,14,12,42354,39690
honest_70849769_3,70849769,16,30,15,13,5,29611,15516
honest_7225888_3,7225888,40,42,40,31,29,110399,106893
honest_8699293_3,8699293,32,47,32,42,27,164609,103721
honest_21529540_4,21529540,44,76,44,67,35,233024,113026
honest_38302492_4,38302492,37,58,35,28,17,73621,34502
honest_50110992_4,50110992,20,11,11,11,11,67310,67310
honest_52532893_4,52532893,38,44,38,24,18,70811,47809
honest_58313106_4,58313106,25,42,23,19,10,58358,42491
honest_6241282_4,6241282,35,43,34,18,14,53474,46344
honest_70849769_4,70849769,28,46,25,19,10,60867,26999
honest_7225888_4,7225888,29,36,27,19,12,65220,41498
honest_8699293_4,8699293,24,41,23,23,10,44201,24433
honest_21529540_5,21529540,8,33,8,26,3,111815,11428
honest_38302492_5,38302492,39,62,37,20,12,79282,36302
honest_50110992_5,50110992,26,28,26,11,10,65625,64545
honest_52532893_5,52532893,28,37,28,25,16,73571,43335
honest_58313106_5,58313106,25,39,25,26,12,59851,35990
honest_6241282_5,6241282,40,51,40,26,20,99766,83829
honest_70849769_5,70849769,34,48,34,22,11,45444,28639
honest_7225888_5,7225888,12,30,12,23,6,63321,22365
honest_8699293_5,8699293,17,23,17,13,8,54724,23570
honest_21529540_6,21529540,27,58,27,49,20,225388,82631
honest_38302492_6,38302492,34,45,34,27,16,59665,39549
honest_50110992_6,50110992,26,30,20,11,7,67885,54508
honest_52532893_6,52532893,33,42,32,26,19,65108,44686
honest_58313106_6,58313106,35,90,35,46,15,139596,53623
honest_6241282_6,6241282,36,50,36,20,14,67318,43437
honest_70849769_6,70849769,40,66,40,32,18,84666,57483
honest_7225888_6,7225888,11,26,11,14,6,46463,11564
honest_8699293_6,8699293,12,17,12,12,8,25270,9321
honest_21529540_7,21529540,21,52,21,39,13,177813,57959
honest_38302492_7,38302492,36,48,35,21,15,59344,36112
honest_50110992_7,50110992,25,27,24,11,10,63223,59822
honest_52532893_7,52532893,27,32,27,25,20,64144,42926
honest_58313106_7,58313106,24,38,23,23,11,64329,37243
honest_6241282_7,6241282,33,36,33,25,22,72627,67338
honest_70849769_7,70849769,25,44,25,22,12,60464,30825
honest_7225888_7,7225888,31,37,31,24,20,55242,51577
honest_8699293_7,8699293,21,33,21,23,13,50754,33715
honest_13945984_1,13945984,43,55,43,45,33,95549,70688
honest_2149564_1,2149564,16,23,16,16,10,63868,39569
honest_27151176_1,27151176,26,29,26,11,8,76123,64789
honest_27742462_1,27742462,36,39,34,19,16,45481,38433
honest_13945984_2,13945984,32,49,32,43,26,85268,57443
honest_2149564_2,2149564,22,30,22,20,13,69147,49662
honest_27151176_2,27151176,29,44,29,22,11,106861,62723
honest_27742462_2,27742462,47,44,44,21,21,43002,43002
honest_13945984_3,13945984,20,33,20,25,12,65767,34684
honest_2149564_3,2149564,18,27,18,14,8,53252,37450
honest_27151176_3,27151176,26,28,25,10,8,74829,68681
honest_27742462_3,27742462,49,45,45,26,26,48096,48096
honest_13945984_4,13945984,18,27,18,17,10,41113,30032
honest_2149564_4,2149564,17,24,17,16,11,55933,42457
honest_27151176_4,27151176,29,33,29,24,20,92327,83400
honest_27742462_4,27742462,21,31,21,14,8,25470,13495
honest_13945984_5,13945984,50,60,50,41,31,92922,80198
honest_2149564_5,2149564,17,26,17,16,9,61529,42393
honest_27151176_5,27151176,26,30,26,11,9,84650,62848
honest_27742462_5,27742462,20,30,20,16,9,48632,35631
honest_13945984_6,13945984,23,36,22,18,12,52962,45406
honest_2149564_6,2149564,17,26,15,14,7,56391,36660
honest_27151176_6,27151176,22,25,22,12,9,88016,78985
honest_27742462_6,27742462,27,32,27,26,21,53834,45313
honest_13945984_7,13945984,25,41,24,17,11,50905,39208
honest_2149564_7,2149564,28,31,28,18,16,60541,52353
honest_27151176_7,27151176,30,47,30,19,11,86894,66084
honest_27742462_7,27742462,29,35,29,25,21,51773,44597
honest_13945984_8,13945984,13,23,13,18,8,46312,23860
honest_2149564_8,2149564,19,28,18,15,9,51176,34195
honest_27151176_8,27151176,22,24,22,17,15,84401,76800
honest_27742462_8,27742462,35,38,34,18,15,40519,34633
honest_14190731_1,14190731,17,46,17,40,12,150156,31521
honest_29396928_1,29396928,20,45,20,29,6,85557,9555
honest_39477163_1,39477163,20,22,18,12,11,26393,24722
honest_44726377_1,44726377,41,109,41,53,14,95964,30042
honest_14190731_2,14190731,13,25,12,19,7,86111,32753
honest_29396928_2,29396928,33,56,33,26,12,80729,44956
honest_39477163_2,39477163,22,24,19,11,9,25940,22113
honest_44726377_2,44726377,24,58,24,33,9,72636,19918
honest_14190731_3,14190731,12,23,12,14,6,44258,39722
honest_29396928_3,29396928,33,56,31,20,12,63869,48983
honest_39477163_3,39477163,14,17,14,10,7,20709,17115
honest_44726377_3,44726377,39,76,37,29,12,58075,15945
honest_14190731_4,14190731,50,69,50,63,44,180164,121769
honest_29396928_4,29396928,35,59,33,23,12,64857,44857
honest_39477163_4,39477163,28,26,26,12,12,28074,28074
honest_44726377_4,44726377,39,86,38,32,13,71747,25339
honest_14190731_5,14190731,14,26,14,19,7,62182,41864
honest_29396928_5,29396928,41,68,41,27,15,90391,61882
honest_39477163_5,39477163,15,21,15,8,7,19019,16666
honest_44726377_5,44726377,33,64,32,24,12,65209,21438
honest_14190731_6,14190731,15,33,15,27,9,97909,31337
honest_29396928_6,29396928,30,54,30,21,12,59268,45901
honest_39477163_6,39477163,24,25,21,12,11,27136,25554
honest_44726377_6,44726377,39,89,37,33,11,74290,20009
honest_14190731_7,14190731,17,44,17,37,12,143902,53928
honest_29396928_7,29396928,26,52,25,19,8,61677,42954
honest_39477163_7,39477163,30,28,28,11,11,26994,26994
honest_44726377_7,44726377,41,92,39,30,12,81500,33165
honest_14190731_8,14190731,34,49,34,43,28,162386,85735
honest_29396928_8,29396928,37,62,37,22,13,73581,46491
honest_39477163_8,39477163,15,20,10,7,5,20557,16965
honest_44726377_8,44726377,30,62,30,41,15,69334,22648
honest_14190731_9,14190731,25,47,25,41,19,146484,44789
honest_29396928_9,29396928,19,35,18,21,6,64788,39840
honest_39477163_9,39477163,19,21,19,10,9,24753,22523
honest_44726377_9,44726377,36,71,36,30,14,81893,34143
honest_17820740_1,17820740,17,28,14,16,10,70501,61026
honest_48451721_1,48451721,44,21,21,18,18,51062,51062
honest_8657908_1,8657908,52,79,52,44,30,112380,52991
honest_9433452_1,9433452,32,34,32,18,16,77161,67798
honest_17820740_2,17820740,28,36,26,19,13,74134,62373
honest_48451721_2,48451721,20,17,17,13,13,63306,63306
honest_8657908_2,8657908,41,60,40,33,22,80455,53913
honest_9433452_2,9433452,35,39,35,31,27,122018,116399
honest_17820740_3,17820740,30,37,27,19,15,88699,80831
honest_48451721_3,48451721,48,30,30,19,19,70271,70271
honest_8657908_3,8657908,23,44,23,30,14,65741,27689
honest_9433452_3,9433452,43,47,43,29,25,86266,76063
honest_17820740_4,17820740,44,65,43,26,22,178418,152322
honest_48451721_4,48451721,24,18,18,13,13,53584,53584
honest_8657908_4,8657908,50,65,50,37,25,92439,59889
honest_9433452_4,9433452,42,45,42,18,15,88487,76239
