id,label,task,split,n_steps,chars,order_in_split
honest_44726377_0,honest,44726377,train,13,24532,39
attack_23367857_0,attack,23367857,train,16,30379,40
honest_23367857_0,honest,23367857,train,9,34742,41
attack_25305237_0,attack,25305237,train,16,44864,42
honest_25305237_0,honest,25305237,train,10,48665,43
attack_6769414_0,attack,6769414,train,18,62101,44
honest_6769414_0,honest,6769414,train,21,98597,45
attack_5566310_0,attack,5566310,train,17,36616,46
honest_5566310_0,honest,5566310,train,12,64190,47
attack_29396928_0,attack,29396928,train,20,41755,48
honest_29396928_0,honest,29396928,train,8,38544,49
attack_43511508_0,attack,43511508,train,25,37568,50
honest_43511508_0,honest,43511508,train,23,43431,51
attack_20478516_0,attack,20478516,train,17,49293,52
honest_20478516_0,honest,20478516,train,21,75964,53
attack_53451103_0,attack,53451103,train,22,77492,54
honest_53451103_0,honest,53451103,train,12,140063,55
attack_21529540_0,attack,21529540,train,25,99393,56
honest_21529540_0,honest,21529540,train,5,16017,57
attack_13945984_0,attack,13945984,train,20,26671,58
honest_13945984_0,honest,13945984,train,20,76705,59
attack_27151176_0,attack,27151176,train,17,85178,60
honest_27151176_0,honest,27151176,train,10,54922,61
attack_8657908_0,attack,8657908,train,28,59427,62
honest_8657908_0,honest,8657908,train,17,34274,63
attack_29559347_0,attack,29559347,train,19,34754,64
honest_29559347_0,honest,29559347,train,12,29792,65
attack_14190731_0,attack,14190731,train,8,21614,66
honest_14190731_0,honest,14190731,train,9,25792,67
attack_463963_0,attack,463963,train,10,33554,68
honest_463963_0,honest,463963,train,21,81177,69
attack_6624622_0,attack,6624622,train,11,21094,70
honest_6624622_0,honest,6624622,train,6,16941,71
attack_19806945_0,attack,19806945,train,22,44731,72
honest_19806945_0,honest,19806945,train,15,42301,73
attack_4290684_0,attack,4290684,train,21,46911,74
honest_4290684_0,honest,4290684,train,20,50815,75
attack_70849769_0,attack,70849769,train,21,25640,76
honest_70849769_0,honest,70849769,train,8,28627,77
attack_45267439_0,attack,45267439,train,22,50989,78
honest_45267439_0,honest,45267439,train,9,33574,79
attack_15165306_0,attack,15165306,train,18,36163,80
honest_15165306_0,honest,15165306,train,9,29455,81
attack_52018092_0,attack,52018092,train,25,21827,82
honest_52018092_0,honest,52018092,train,21,39232,83
attack_27742462_0,attack,27742462,train,24,44488,84
honest_27742462_0,honest,27742462,train,26,45200,85
attack_18455698_0,attack,18455698,train,20,34836,86
honest_18455698_0,honest,18455698,train,20,67030,87
attack_6935769_0,attack,6935769,train,10,29490,88
honest_6935769_0,honest,6935769,train,5,14291,89
attack_22172861_0,attack,22172861,train,13,26993,90
honest_22172861_0,honest,22172861,train,6,22120,91
attack_44232616_0,attack,44232616,train,18,57139,92
honest_44232616_0,honest,44232616,train,12,48250,93
attack_29603725_0,attack,29603725,train,22,52586,94
honest_29603725_0,honest,29603725,train,13,41729,95
attack_38102481_0,attack,38102481,train,15,43758,96
honest_38102481_0,honest,38102481,train,25,67317,97
attack_29266560_0,attack,29266560,train,12,21778,98
honest_29266560_0,honest,29266560,train,18,34663,99
attack_30714276_0,attack,30714276,train,25,66767,100
honest_30714276_0,honest,30714276,train,14,85865,101
attack_38302492_0,attack,38302492,train,22,26966,102
honest_38302492_0,honest,38302492,train,8,22347,103
attack_38927895_0,attack,38927895,train,12,55277,104
honest_38927895_0,honest,38927895,train,13,44651,105
attack_26415833_0,attack,26415833,train,12,15790,106
honest_26415833_0,honest,26415833,train,11,23113,107
attack_12679075_0,attack,12679075,train,26,55603,108
honest_12679075_0,honest,12679075,train,11,45949,109
attack_32208782_0,attack,32208782,train,18,31557,110
honest_32208782_0,honest,32208782,train,28,75139,111
attack_854200_0,attack,854200,train,17,49232,112
honest_854200_0,honest,854200,train,12,21760,113
attack_65297987_0,attack,65297987,train,21,51438,114
honest_65297987_0,honest,65297987,train,9,33802,115
attack_3070723_0,attack,3070723,train,25,76276,116
honest_3070723_0,honest,3070723,train,12,72253,117
attack_7225888_0,attack,7225888,train,13,41164,118
honest_7225888_0,honest,7225888,train,9,33573,119
attack_21914632_1,attack,21914632,train,15,46041,120
honest_21914632_1,honest,21914632,train,11,49432,121
attack_37586811_1,attack,37586811,train,20,38941,122
honest_37586811_1,honest,37586811,train,12,40626,123
attack_44001260_1,attack,44001260,train,14,64999,124
honest_44001260_1,honest,44001260,train,16,48325,125
attack_52532893_1,attack,52532893,train,16,43132,126
honest_52532893_1,honest,52532893,train,8,21655,127
attack_48451721_1,attack,48451721,train,12,32750,128
honest_48451721_1,honest,48451721,train,18,51062,129
attack_17820740_1,attack,17820740,train,16,79800,130
honest_17820740_1,honest,17820740,train,10,61026,131
attack_67034029_1,attack,67034029,train,17,45449,132
honest_67034029_1,honest,67034029,train,16,67835,133
attack_8699293_1,attack,8699293,train,11,24375,134
honest_8699293_1,honest,8699293,train,9,22391,135
attack_9433452_1,attack,9433452,train,15,45834,136
honest_9433452_1,honest,9433452,train,16,67798,137
attack_10736505_1,attack,10736505,train,12,16488,138
honest_10736505_1,honest,10736505,train,12,11699,139
attack_11762372_1,attack,11762372,train,17,32626,140
honest_11762372_1,honest,11762372,train,12,45821,141
attack_4690851_1,attack,4690851,train,17,46309,142
honest_4690851_2,honest,4690851,train,16,40563,143
attack_44726377_1,attack,44726377,train,21,43120,144
honest_44726377_1,honest,44726377,train,14,30042,145
attack_23367857_1,attack,23367857,train,18,27559,146
honest_23367857_1,honest,23367857,train,8,27553,147
attack_25305237_1,attack,25305237,train,21,52581,148
honest_25305237_1,honest,25305237,train,17,64827,149
attack_5566310_1,attack,5566310,train,15,29380,150
honest_5566310_1,honest,5566310,train,11,40233,151
attack_29396928_1,attack,29396928,train,15,38618,152
honest_29396928_1,honest,29396928,train,6,9555,153
attack_43511508_1,attack,43511508,train,16,26189,154
honest_43511508_1,honest,43511508,train,11,35651,155
attack_21529540_1,attack,21529540,train,24,92722,156
honest_21529540_1,honest,21529540,train,6,16208,157
attack_13945984_1,attack,13945984,train,22,100633,158
honest_13945984_1,honest,13945984,train,33,70688,159
attack_27151176_1,attack,27151176,train,20,96862,160
honest_27151176_1,honest,27151176,train,8,64789,161
attack_8657908_1,attack,8657908,train,33,76659,162
honest_8657908_1,honest,8657908,train,30,52991,163
attack_29559347_1,attack,29559347,train,17,36202,164
honest_29559347_1,honest,29559347,train,15,27736,165
attack_14190731_1,attack,14190731,train,7,26241,166
honest_14190731_1,honest,14190731,train,12,31521,167
attack_463963_1,attack,463963,train,13,36694,168
honest_463963_1,honest,463963,train,7,38510,169
attack_6624622_1,attack,6624622,train,14,22660,170
honest_6624622_1,honest,6624622,train,8,22038,171
attack_19806945_1,attack,19806945,train,20,44456,172
honest_19806945_1,honest,19806945,train,17,67320,173
attack_70849769_1,attack,70849769,train,14,32605,174
honest_70849769_1,honest,70849769,train,5,23402,175
attack_45267439_1,attack,45267439,train,14,29332,176
honest_45267439_1,honest,45267439,train,15,45261,177
attack_15165306_1,attack,15165306,train,12,33331,178
honest_15165306_1,honest,15165306,train,13,34820,179
attack_52018092_1,attack,52018092,train,30,24305,180
honest_52018092_1,honest,52018092,train,22,48715,181
attack_27742462_1,attack,27742462,train,19,28996,182
honest_27742462_1,honest,27742462,train,16,38433,183
attack_6935769_1,attack,6935769,train,9,24340,184
honest_6935769_1,honest,6935769,train,11,27260,185
attack_22172861_1,attack,22172861,train,13,30235,186
honest_22172861_1,honest,22172861,train,9,35479,187
attack_29603725_1,attack,29603725,train,16,56137,188
honest_29603725_1,honest,29603725,train,26,94338,189
attack_38102481_1,attack,38102481,train,24,75494,190
honest_38102481_1,honest,38102481,train,19,29770,191
attack_29266560_1,attack,29266560,train,15,20609,192
honest_29266560_1,honest,29266560,train,21,47839,193
attack_30714276_1,attack,30714276,train,21,37674,194
honest_30714276_1,honest,30714276,train,12,89560,195
attack_38302492_1,attack,38302492,train,24,27524,196
honest_38302492_1,honest,38302492,train,19,65942,197
attack_38927895_1,attack,38927895,train,16,67343,198
honest_38927895_1,honest,38927895,train,9,44060,199
attack_32208782_1,attack,32208782,train,24,36831,200
honest_32208782_1,honest,32208782,train,23,74737,201
attack_65297987_1,attack,65297987,train,19,43837,202
honest_65297987_1,honest,65297987,train,13,43119,203
attack_3070723_1,attack,3070723,train,27,86445,204
honest_3070723_1,honest,3070723,train,20,77129,205
attack_7225888_1,attack,7225888,train,20,42834,206
honest_7225888_1,honest,7225888,train,23,74451,207
attack_21914632_2,attack,21914632,train,15,37132,208
honest_21914632_2,honest,21914632,train,5,30521,209
attack_37586811_2,attack,37586811,train,19,29538,210
honest_37586811_2,honest,37586811,train,11,86073,211
attack_52532893_2,attack,52532893,train,16,40450,212
honest_52532893_2,honest,52532893,train,14,29411,213
attack_48451721_2,attack,48451721,train,16,33178,214
honest_48451721_2,honest,48451721,train,13,63306,215
attack_17820740_2,attack,17820740,train,18,53462,216
honest_17820740_2,honest,17820740,train,13,62373,217
attack_67034029_2,attack,67034029,train,11,49947,218
honest_67034029_2,honest,67034029,train,30,78896,219
attack_8699293_2,attack,8699293,train,16,39836,220
honest_8699293_2,honest,8699293,train,12,30852,221
attack_9433452_2,attack,9433452,train,18,47449,222
honest_9433452_2,honest,9433452,train,27,116399,223
attack_10736505_2,attack,10736505,train,17,17472,224
honest_10736505_2,honest,10736505,train,8,17090,225
attack_11762372_2,attack,11762372,train,13,36049,226
honest_11762372_2,honest,11762372,train,27,73815,227
attack_4690851_2,attack,4690851,train,21,48386,228
honest_4690851_3,honest,4690851,train,11,44231,229
attack_44726377_2,attack,44726377,train,21,42130,230
honest_44726377_2,honest,44726377,train,9,19918,231
attack_23367857_2,attack,23367857,train,10,35566,232
honest_23367857_2,honest,23367857,train,8,35170,233
attack_25305237_2,attack,25305237,train,20,55977,234
honest_25305237_2,honest,25305237,train,21,59662,235
attack_5566310_2,attack,5566310,train,17,32955,236
honest_5566310_2,honest,5566310,train,8,58366,237
attack_29396928_2,attack,29396928,train,22,42728,238
honest_29396928_2,honest,29396928,train,12,44956,239
attack_21529540_2,attack,21529540,train,9,52061,240
honest_21529540_2,honest,21529540,train,8,36815,241
attack_13945984_2,attack,13945984,train,12,33421,242
honest_13945984_2,honest,13945984,train,26,57443,243
attack_27151176_2,attack,27151176,train,18,50668,244
honest_27151176_2,honest,27151176,train,11,62723,245
attack_8657908_2,attack,8657908,train,20,34636,246
honest_8657908_2,honest,8657908,train,22,53913,247
attack_29559347_2,attack,29559347,train,21,38946,248
honest_29559347_2,honest,29559347,train,21,78336,249
attack_14190731_2,attack,14190731,train,12,39489,250
honest_14190731_2,honest,14190731,train,7,32753,251
attack_463963_2,attack,463963,train,14,26024,252
honest_463963_2,honest,463963,train,8,44151,253
attack_6624622_2,attack,6624622,train,9,20508,254
honest_6624622_2,honest,6624622,train,6,18064,255
attack_19806945_2,attack,19806945,train,17,45652,256
honest_19806945_2,honest,19806945,train,19,50880,257
attack_70849769_2,attack,70849769,train,7,35617,258
honest_70849769_2,honest,70849769,train,12,26118,259
attack_45267439_2,attack,45267439,train,16,24324,260
honest_45267439_2,honest,45267439,train,11,32146,261
attack_15165306_2,attack,15165306,train,8,33204,262
honest_15165306_2,honest,15165306,train,14,40042,263
attack_52018092_2,attack,52018092,train,18,28126,264
honest_52018092_2,honest,52018092,train,27,53094,265
attack_27742462_2,attack,27742462,train,16,35597,266
honest_27742462_2,honest,27742462,train,21,43002,267
attack_6935769_2,attack,6935769,train,11,25703,268
honest_6935769_2,honest,6935769,train,8,25341,269
attack_22172861_2,attack,22172861,train,17,28319,270
honest_22172861_2,honest,22172861,train,5,31898,271
attack_38102481_2,attack,38102481,train,17,36406,272
honest_38102481_2,honest,38102481,train,17,56363,273
attack_29266560_2,attack,29266560,train,13,25169,274
honest_29266560_2,honest,29266560,train,29,83498,275
attack_30714276_2,attack,30714276,train,25,64894,276
honest_30714276_2,honest,30714276,train,14,67168,277
attack_38302492_2,attack,38302492,train,19,29527,278
honest_38302492_2,honest,38302492,train,20,57408,279
attack_32208782_2,attack,32208782,train,13,30577,280
honest_32208782_2,honest,32208782,train,26,75673,281
attack_65297987_2,attack,65297987,train,18,44065,282
honest_65297987_2,honest,65297987,train,11,25966,283
attack_3070723_2,attack,3070723,train,15,80134,284
honest_3070723_2,honest,3070723,train,32,99901,285
attack_7225888_2,attack,7225888,train,26,53288,286
honest_7225888_2,honest,7225888,train,20,63622,287
attack_21914632_3,attack,21914632,train,15,37934,288
honest_21914632_3,honest,21914632,train,13,53221,289
attack_37586811_3,attack,37586811,train,16,31200,290
honest_37586811_3,honest,37586811,train,6,31162,291
attack_52532893_3,attack,52532893,train,19,50932,292
honest_52532893_3,honest,52532893,train,12,33624,293
attack_48451721_3,attack,48451721,train,25,68041,294
honest_48451721_3,honest,48451721,train,19,70271,295
attack_17820740_3,attack,17820740,train,21,71738,296
honest_17820740_3,honest,17820740,train,15,80831,297
attack_67034029_3,attack,67034029,train,22,58003,298
honest_67034029_3,honest,67034029,train,25,80335,299
attack_8699293_3,attack,8699293,train,13,30569,300
honest_8699293_3,honest,8699293,train,27,103721,301
attack_9433452_3,attack,9433452,train,31,67220,302
honest_9433452_3,honest,9433452,train,25,76063,303
attack_10736505_3,attack,10736505,train,21,27946,304
honest_10736505_3,honest,10736505,train,16,30923,305
attack_11762372_3,attack,11762372,train,15,31535,306
honest_11762372_3,honest,11762372,train,12,40727,307
attack_4690851_3,attack,4690851,train,11,35867,308
honest_4690851_4,honest,4690851,train,14,48155,309
attack_44726377_3,attack,44726377,train,19,37545,310
honest_44726377_3,honest,44726377,train,12,15945,311
attack_23367857_3,attack,23367857,train,22,39273,312
honest_23367857_3,honest,23367857,train,7,28316,313
attack_5566310_3,attack,5566310,train,15,29089,314
honest_5566310_3,honest,5566310,train,8,36857,315
attack_29396928_3,attack,29396928,train,22,45472,316
honest_29396928_3,honest,29396928,train,12,48983,317
attack_21529540_3,attack,21529540,train,8,51549,318
honest_21529540_3,honest,21529540,train,34,99913,319
attack_13945984_3,attack,13945984,train,20,33970,320
honest_13945984_3,honest,13945984,train,12,34684,321
attack_27151176_3,attack,27151176,train,15,65551,322
honest_27151176_3,honest,27151176,train,8,68681,323
attack_8657908_3,attack,8657908,train,30,57569,324
honest_8657908_3,honest,8657908,train,14,27689,325
attack_29559347_3,attack,29559347,train,12,36073,326
honest_29559347_3,honest,29559347,train,23,82655,327
attack_14190731_3,attack,14190731,train,30,53882,328
honest_14190731_3,honest,14190731,train,6,39722,329
attack_6624622_3,attack,6624622,train,12,17031,330
honest_6624622_3,honest,6624622,train,9,20105,331
attack_19806945_3,attack,19806945,train,25,41687,332
honest_19806945_3,honest,19806945,train,12,37958,333
attack_70849769_3,attack,70849769,train,8,22331,334
honest_70849769_3,honest,70849769,train,5,15516,335
attack_15165306_3,attack,15165306,train,13,36456,336
honest_15165306_3,honest,15165306,train,11,41151,337
attack_52018092_3,attack,52018092,train,17,32357,338
honest_52018092_3,honest,52018092,train,18,48653,339
attack_27742462_3,attack,27742462,train,21,35254,340
honest_27742462_3,honest,27742462,train,26,48096,341
attack_6935769_3,attack,6935769,train,11,25879,342
honest_6935769_3,honest,6935769,train,8,27776,343
attack_22172861_3,attack,22172861,train,14,25791,344
honest_22172861_3,honest,22172861,train,5,17855,345
attack_29266560_3,attack,29266560,train,32,75725,346
honest_29266560_3,honest,29266560,train,12,36293,347
attack_30714276_3,attack,30714276,train,22,29362,348
honest_30714276_3,honest,30714276,train,11,95731,349
attack_38302492_3,attack,38302492,train,27,66563,350
honest_38302492_3,honest,38302492,train,13,39936,351
attack_32208782_3,attack,32208782,train,17,33182,352
honest_32208782_3,honest,32208782,train,16,60737,353
attack_65297987_3,attack,65297987,train,28,43875,354
honest_65297987_3,honest,65297987,train,14,46639,355
attack_3070723_3,attack,3070723,train,16,52450,356
honest_3070723_3,honest,3070723,train,25,69024,357
attack_7225888_3,attack,7225888,train,19,47088,358
honest_7225888_3,honest,7225888,train,29,106893,359
attack_21914632_4,attack,21914632,train,15,49065,360
honest_21914632_4,honest,21914632,train,7,31346,361
attack_37586811_4,attack,37586811,train,14,28746,362
honest_37586811_4,honest,37586811,train,10,39045,363
attack_52532893_4,attack,52532893,train,15,47886,364
honest_52532893_4,honest,52532893,train,18,47809,365
attack_48451721_4,attack,48451721,train,27,84809,366
honest_48451721_4,honest,48451721,train,13,53584,367
attack_17820740_4,attack,17820740,train,24,39502,368
honest_17820740_4,honest,17820740,train,22,152322,369
attack_67034029_4,attack,67034029,train,20,58290,370
honest_67034029_4,honest,67034029,train,17,81057,371
attack_8699293_4,attack,8699293,train,14,32728,372
honest_8699293_4,honest,8699293,train,10,24433,373
attack_9433452_4,attack,9433452,train,24,42731,374
honest_9433452_4,honest,9433452,train,15,76239,375
attack_10736505_4,attack,10736505,train,28,44211,376
honest_10736505_4,honest,10736505,train,18,31574,377
attack_11762372_4,attack,11762372,train,17,47180,378
honest_11762372_4,honest,11762372,train,18,54145,379
attack_4690851_4,attack,4690851,train,14,39013,380
honest_4690851_5,honest,4690851,train,11,34766,381
attack_44726377_4,attack,44726377,train,21,42162,382
honest_44726377_4,honest,44726377,train,13,25339,383
attack_23367857_4,attack,23367857,train,11,34067,384
honest_23367857_4,honest,23367857,train,9,25133,385
attack_5566310_4,attack,5566310,train,23,41233,386
honest_5566310_4,honest,5566310,train,8,48876,387
attack_29396928_4,attack,29396928,train,14,62213,388
honest_29396928_4,honest,29396928,train,12,44857,389
attack_21529540_4,attack,21529540,train,7,43970,390
honest_21529540_4,honest,21529540,train,35,113026,391
attack_13945984_4,attack,13945984,train,28,53682,392
honest_13945984_4,honest,13945984,train,10,30032,393
attack_27151176_4,attack,27151176,train,17,67120,394
honest_27151176_4,honest,27151176,train,20,83400,395
attack_8657908_4,attack,8657908,train,15,29110,396
honest_8657908_4,honest,8657908,train,25,59889,397
attack_29559347_4,attack,29559347,train,18,36851,398
honest_29559347_4,honest,29559347,train,15,44176,399
attack_14190731_4,attack,14190731,train,7,31957,400
honest_14190731_4,honest,14190731,train,44,121769,401
attack_6624622_4,attack,6624622,train,8,27621,402
honest_6624622_4,honest,6624622,train,7,19102,403
attack_70849769_4,attack,70849769,train,14,30780,404
honest_70849769_4,honest,70849769,train,10,26999,405
attack_15165306_4,attack,15165306,train,11,36071,406
honest_15165306_4,honest,15165306,train,12,35925,407
attack_27742462_4,attack,27742462,train,23,69019,408
honest_27742462_4,honest,27742462,train,8,13495,409
attack_6935769_4,attack,6935769,train,17,35217,410
honest_6935769_4,honest,6935769,train,11,27466,411
attack_22172861_4,attack,22172861,train,8,20752,412
honest_22172861_4,honest,22172861,train,14,32969,413
attack_29266560_4,attack,29266560,train,11,23715,414
honest_29266560_4,honest,29266560,train,18,36806,415
attack_30714276_4,attack,30714276,train,21,65674,416
honest_30714276_4,honest,30714276,train,14,81872,417
attack_38302492_4,attack,38302492,train,19,28841,418
honest_38302492_4,honest,38302492,train,17,34502,419
attack_32208782_4,attack,32208782,train,14,41314,420
honest_32208782_4,honest,32208782,train,25,98770,421
attack_65297987_4,attack,65297987,train,20,38772,422
honest_65297987_4,honest,65297987,train,17,54633,423
attack_3070723_4,attack,3070723,train,28,70341,424
honest_3070723_4,honest,3070723,train,13,60856,425
attack_7225888_4,attack,7225888,train,15,44439,426
honest_7225888_4,honest,7225888,train,12,41498,427
attack_21914632_5,attack,21914632,train,9,42409,428
honest_21914632_5,honest,21914632,train,5,30443,429
attack_37586811_5,attack,37586811,train,10,41139,430
honest_37586811_5,honest,37586811,train,6,41087,431
attack_52532893_5,attack,52532893,train,23,48284,432
honest_52532893_5,honest,52532893,train,16,43335,433
attack_48451721_5,attack,48451721,train,17,26799,434
honest_48451721_5,honest,48451721,train,14,69087,435
attack_17820740_5,attack,17820740,train,16,48190,436
honest_17820740_5,honest,17820740,train,17,57422,437
attack_67034029_5,attack,67034029,train,20,57797,438
honest_67034029_5,honest,67034029,train,19,67170,439
attack_8699293_5,attack,8699293,train,7,24250,440
honest_8699293_5,honest,8699293,train,8,23570,441
attack_9433452_5,attack,9433452,train,19,50295,442
honest_9433452_5,honest,9433452,train,28,63649,443
attack_10736505_5,attack,10736505,train,5,16287,444
honest_10736505_5,honest,10736505,train,18,26950,445
attack_11762372_5,attack,11762372,train,17,53436,446
honest_11762372_5,honest,11762372,train,21,66395,447
attack_4690851_5,attack,4690851,train,14,40094,448
honest_4690851_6,honest,4690851,train,13,52861,449
attack_44726377_5,attack,44726377,train,26,68630,450
honest_44726377_5,honest,44726377,train,12,21438,451
attack_23367857_5,attack,23367857,train,14,32955,452
honest_23367857_5,honest,23367857,train,9,28717,453
attack_29396928_5,attack,29396928,train,16,45153,454
honest_29396928_5,honest,29396928,train,15,61882,455
attack_21529540_5,attack,21529540,train,4,45762,456
honest_21529540_5,honest,21529540,train,3,11428,457
attack_13945984_5,attack,13945984,train,12,37624,458
honest_13945984_5,honest,13945984,train,31,80198,459
attack_27151176_5,attack,27151176,train,18,80892,460
honest_27151176_5,honest,27151176,train,9,62848,461
attack_8657908_5,attack,8657908,train,24,40270,462
honest_8657908_5,honest,8657908,train,29,87311,463
attack_29559347_5,attack,29559347,train,10,34397,464
honest_29559347_5,honest,29559347,train,19,52122,465
attack_14190731_5,attack,14190731,train,23,40088,466
honest_14190731_5,honest,14190731,train,7,41864,467
attack_6624622_5,attack,6624622,train,6,16415,468
honest_6624622_5,honest,6624622,train,7,17095,469
attack_70849769_5,attack,70849769,train,15,34116,470
honest_70849769_5,honest,70849769,train,11,28639,471
attack_15165306_5,attack,15165306,train,17,35345,472
honest_15165306_5,honest,15165306,train,12,40085,473
attack_27742462_5,attack,27742462,train,26,55338,474
honest_27742462_5,honest,27742462,train,9,35631,475
attack_6935769_5,attack,6935769,train,7,30655,476
honest_6935769_5,honest,6935769,train,13,51311,477
attack_22172861_5,attack,22172861,train,7,18395,478
honest_22172861_5,honest,22172861,train,13,43196,479
attack_29266560_5,attack,29266560,train,18,36064,480
honest_29266560_5,honest,29266560,train,19,41081,481
attack_30714276_5,attack,30714276,train,10,33187,482
honest_30714276_5,honest,30714276,train,15,63689,483
attack_38302492_5,attack,38302492,train,16,31357,484
honest_38302492_5,honest,38302492,train,12,36302,485
attack_32208782_5,attack,32208782,train,12,29631,486
honest_32208782_5,honest,32208782,train,22,59920,487
attack_65297987_5,attack,65297987,train,10,56855,488
honest_65297987_5,honest,65297987,train,12,44801,489
attack_3070723_5,attack,3070723,train,8,53574,490
honest_3070723_5,honest,3070723,train,23,70730,491
attack_7225888_5,attack,7225888,train,5,38452,492
honest_7225888_5,honest,7225888,train,6,22365,493
attack_21914632_6,attack,21914632,train,14,41963,494
honest_21914632_6,honest,21914632,train,10,49024,495
attack_37586811_6,attack,37586811,train,15,30724,496
honest_37586811_6,honest,37586811,train,13,54586,497
attack_52532893_6,attack,52532893,train,21,55991,498
honest_52532893_6,honest,52532893,train,19,44686,499
attack_17820740_6,attack,17820740,train,17,47516,500
honest_17820740_6,honest,17820740,train,14,70350,501
attack_67034029_6,attack,67034029,train,13,66562,502
honest_67034029_6,honest,67034029,train,31,103099,503
attack_8699293_6,attack,8699293,train,5,20786,504
honest_8699293_6,honest,8699293,train,8,9321,505
attack_9433452_6,attack,9433452,train,26,58343,506
honest_9433452_6,honest,9433452,train,18,74978,507
attack_10736505_6,attack,10736505,train,13,20903,508
honest_10736505_6,honest,10736505,train,10,27715,509
attack_11762372_6,attack,11762372,train,16,52884,510
honest_11762372_6,honest,11762372,train,17,53582,511
attack_4690851_6,attack,4690851,train,19,43240,512
honest_4690851_7,honest,4690851,train,15,42376,513
attack_44726377_6,attack,44726377,train,28,67327,514
honest_44726377_6,honest,44726377,train,11,20009,515
attack_23367857_6,attack,23367857,train,4,26294,516
honest_23367857_6,honest,23367857,train,10,32032,517
attack_29396928_6,attack,29396928,train,17,51243,518
honest_29396928_6,honest,29396928,train,12,45901,519
attack_21529540_6,attack,21529540,train,12,44302,520
honest_21529540_6,honest,21529540,train,20,82631,521
attack_13945984_6,attack,13945984,train,10,40820,522
honest_13945984_6,honest,13945984,train,12,45406,523
attack_27151176_6,attack,27151176,train,13,76919,524
honest_27151176_6,honest,27151176,train,9,78985,525
attack_8657908_6,attack,8657908,train,15,53288,526
honest_8657908_6,honest,8657908,train,25,48769,527
attack_29559347_6,attack,29559347,train,12,27765,528
honest_29559347_6,honest,29559347,train,11,30035,529
attack_14190731_6,attack,14190731,train,8,26241,530
honest_14190731_6,honest,14190731,train,9,31337,531
attack_6624622_6,attack,6624622,train,8,17119,532
honest_6624622_6,honest,6624622,train,9,23935,533
attack_70849769_6,attack,70849769,train,9,28407,534
honest_70849769_6,honest,70849769,train,18,57483,535
attack_15165306_6,attack,15165306,train,12,29449,536
honest_15165306_6,honest,15165306,train,11,33186,537
attack_27742462_6,attack,27742462,train,10,44630,538
honest_27742462_6,honest,27742462,train,21,45313,539
attack_6935769_6,attack,6935769,train,14,38927,540
honest_6935769_6,honest,6935769,train,15,52496,541
attack_22172861_6,attack,22172861,train,6,19412,542
honest_22172861_6,honest,22172861,train,6,18808,543
attack_29266560_6,attack,29266560,train,11,26846,544
honest_29266560_6,honest,29266560,train,15,29999,545
attack_30714276_6,attack,30714276,train,15,44566,546
honest_30714276_6,honest,30714276,train,14,69537,547
attack_38302492_6,attack,38302492,train,20,31187,548
honest_38302492_6,honest,38302492,train,16,39549,549
attack_32208782_6,attack,32208782,train,14,40572,550
honest_32208782_6,honest,32208782,train,18,36639,551
attack_65297987_6,attack,65297987,train,18,81341,552
honest_65297987_6,honest,65297987,train,16,66824,553
attack_3070723_6,attack,3070723,train,14,55657,554
honest_3070723_6,honest,3070723,train,9,68175,555
attack_7225888_6,attack,7225888,train,4,32711,556
honest_7225888_6,honest,7225888,train,6,11564,557
